nome;sexo;cores;idade;vacinado;sociavel;animado;castrado;porte;adocao_especial;id;data nascimento;data_nasc_dt;faixa_etaria
Peter;0;"[""preto"", ""branco'"]";36;1;1;1;1;0.0;1;dog0001;11/2022;2022-11-01;adulto
Denis;0;"[""laranja""]";11;1;1;1;1;1.0;0;dog0002;12/2024;2024-12-01;filhote
Universitária;1;"[""preto""]";16;1;1;1;1;1.0;0;dog0003;07/2024;2024-07-01;adulto
Cleo;1;"[""preto""]";120;1;1;0;1;1.0;1;dog0004;11/2015;2015-11-01;idoso
Catarina;1;"[""laranja""]";18;1;1;0;1;0.0;1;dog0005;05/2024;2024-05-01;adulto
Júlia;1;"[""preto""]";12;1;1;0;1;2.0;0;dog0006;11/2024;2024-11-01;adulto
Seu Madruga;0;"[""preto"",""laranja""]";3;0;1;1;0;-1.0;0;dog0007;08/2025;2025-08-01;filhote
Chaves;0;"[""preto"",""laranja""]";3;0;1;1;0;-1.0;0;dog0008;08/2025;2025-08-01;filhote
Kiko;0;"[""preto"",""laranja""]";3;0;1;1;0;-1.0;0;dog0009;08/2025;2025-08-01;filhote
Julie;1;"[""laranja""]";24;0;1;1;0;0.0;1;dog0010;11/2023;2023-11-01;adulto
Boris;0;"[""laranja"",""preto""]";72;0;1;0;0;1.0;1;dog0011;11/2019;2019-11-01;adulto
